Ref,ProgAbbrName,SEX,CGPA,Semester1,Semester2,Semester3,Semester4,Semester5,Semester6,Semester7,Semester8,GRADUATED
STU5234,B.Sc. EHS (N/P),0,2,1,1,2,2,2,1.5,1,2,0
STU5235,B.Ed. Secondary (Commerce - IDE),1,3,2,2,2,3,3,3,2,3,1
STU5236,B.Ed. Secondary (Business Education),1,2,2,1.5,2,3,2,2,2,3,0
STU5237,B.Sc. IT,1,2,3,1,2,4,3,3,1,1,0
STU5238,B.Sc. Agron.,0,3,2,3,2,3,3,4,3,4,1
STU5239,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,0,2,3,1.5,3,4,0,2,2,0
STU5239,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,3,2,3,1.5,3,4,0,2,2,0
STU5240,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,2,3,3,1.5,2,4,2,1.5,2,0
STU5241,B.Comm. (New Programme),1,2,3,2,2,2,3,2,2,2,0
STU5242,B.Sc. Agric. Ed.,1,3,3,3,3,3,3,3,3,3,1
STU5243,B.Sc. IT,0,2,1.5,1,2,3,3,3,2,3,0
STU5244,B.Sc. IT,1,1.5,2,0,1.5,3,2,2,1.5,0,0
STU5245,B.NSc. (N/P),0,3,3,3,3,3,4,3,4,4,1
STU5246,B.NSc. (N/P),0,4,4,3,4,4,4,4,4,3,1
STU5247,B.Ed. Primary(Social Studies)IDE,1,3,3,2,2,3,3,3,2,2,1
STU5248,BACHELOR OF SCIENCE,0,4,3,3,3,4,4,4,3,4,1
STU5249,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,3,3,3,2,3,4,3,3,3,1
STU5250,B.Comm. (New Programme),1,3,4,3,3,3,4,3,3,2,1
STU5251,B.A. Humanities (IDE),0,2,2,2,2,2,2,2,2,2,0
STU5252,B.Ed. Secondary (Science),1,2,1.5,2,1,4,2,2,1.5,0,0
STU5253,BACHELOR OF SCIENCE,1,1.5,2,2,1.5,3,2,1,0,0,0
STU5254,B.Sc. Hort.,1,2,1.5,1,2,2,2,4,1,3,0
STU5255,B.Sc. Agric. Econ. and AgBMgt.,0,3,1.5,3,3,3,3,5,2,3,1
STU5256,B.Sc. EHS (N/P),1,2,3,2,2,3,3,2,2,2,0
STU5257,BACHELOR OF ARTS IN HUMANITIES,1,2,2,2,2,2,2,2,2,2,0
STU5258,BACHELOR OF SCIENCE,1,4,3,3,4,5,4,3,3,3,0
STU5259,B.Sc. Agron.,1,3,3,3,3,3,3,3,3,3,1
STU5260,B.Ed. Secondary (Humanities),0,2,1.5,1.5,3,2,3,3,2,3,0
STU5261,B.Sc. Cons. Sci.,0,3,3,3,3,3,3,4,3,4,1
STU5262,B.NSc. (N/P),1,4,4,3,4,5,5,4,3,4,1
STU5263,B.Sc. FSNT,0,3,3,3,3,3,3,4,3,3,1
STU5264,B.Sc. Agron.,0,3,2,3,2,3,3,4,2,3,0
STU5265,BACHELOR OF SCIENCE,0,3,2,2,2,4,3,3,2,3,1
STU5266,B.Comm. (New Programme),1,4,4,4,4,4,4,4,4,4,1
STU5267,B.Comm. (New Programme),0,3,3,3,3,3,4,3,4,3,1
STU5268,B.Sc. Agric. Econ. and AgBMgt.,0,3,3,4,3,4,3,3,3,4,1
STU5269,BACHELOR OF ARTS IN HUMANITIES,0,3,3,3,3,2,3,2,3,3,1
STU5270,BACHELOR OF SOCIAL WORK,0,3,2,3,2,3,3,3,3,4,1
STU5271,B.Comm. (New Programme),0,3,2,3,2,3,4,3,2,3,1
STU5272,B.NSc. (N/P),0,3,3,2,3,3,3,3,4,4,1
STU5273,B.Sc. Cons. Sci. Ed.,0,3,2,3,2,2,3,3,3,3,1
STU5274,BACHELOR OF SCIENCE,1,2,2,2,1.5,3,2,2,2,2,0
STU5275,B.NSc. (N/P),1,3,3,3,3,3,3,3,3,3,1
STU5276,B.Sc. Agron.,0,3,3,3,2,4,3,4,2,3,1
STU5277,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,3,3,2,2,3,3,2,3,3,1
STU5278,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,4,4,5,4,4,4,3,3,4,1
STU5279,B.NSc. (N/P),0,3,3,2,3,3,4,4,3,3,1
STU5280,B.Sc. EMWR,0,4,3,3,3,4,4,3,3,4,1
STU5281,BACHELOR OF SCIENCE,0,3,2,4,3,4,3,3,2,2,0
STU5282,B.Sc. EHS (N/P),0,3,3,2,3,3,3,3,3,4,1
STU5283,BACHELOR OF SCIENCE,0,3,3,3,3,3,3,2,3,3,0
STU5284,B.Sc. Cons. Sci. Ed.,0,3,2,2,2,3,3,4,3,3,1
STU5285,BACHELOR OF SOCIAL WORK,1,3,3,3,2,3,3,3,3,4,1
STU5286,BACHELOR OF ARTS IN HUMANITIES,1,2,2,2,2,3,2,2,3,3,0
STU5287,B.Ed. Secondary (Business Education),0,2,2,2,1.5,4,3,2,2,2,0
STU5288,B.Sc. EHFS,0,3,1.5,2,2,3,3,3,2,3,1
STU5289,B.Comm. (New Programme),0,3,2,2,3,4,4,4,4,3,1
STU5290,B.Sc. Agric. Ed.,1,3,3,3,2,3,3,4,2,3,1
STU5291,BACHELOR OF ARTS IN HUMANITIES,0,3,2,3,3,2,2,2,3,3,1
STU5292,B.Comm. (New Programme),0,3,2,2,2,3,3,4,3,3,1
STU5293,B.Comm. (New Programme),0,2,1.5,2,2,2,3,3,2,2,0
STU5294,BACHELOR OF ARTS IN HUMANITIES,0,2,3,2,2,2,2,2,2,2,0
STU5295,B.Comm. (New Programme),1,2,2,1,1.5,4,4,3,2,2,0
STU5296,BACHELOR OF SOCIAL WORK,0,3,2,3,2,3,2,3,2,4,1
STU5297,B.Sc. FSNT,0,3,4,3,4,3,3,4,3,4,1
STU5298,B.NSc. (N/P),0,3,3,3,3,3,0,3,3,3,1
STU5299,B.NSc. (N/P),1,3,3,3,3,3,3,3,3,3,1
STU5300,B.Sc. EMOSH,0,3,3,2,3,4,3,2,2,3,1
STU5301,B.Ed. Secondary - IDE,1,3,2,3,2,3,3,3,3,3,1
STU5302,B.Comm. (New Programme),0,4,4,3,3,4,4,4,4,3,1
STU5303,B.Sc. Comp. Sc. Ed.,0,2,2,2,2,3,2,2,2,3,0
STU5304,BACHELOR OF SCIENCE,1,4,4,4,3,4,4,3,3,3,1
STU5305,B.Comm. (New Programme),1,4,4,4,3,4,4,4,4,3,1
STU5306,B.Sc. Cons. Sci. Ed.,0,4,3,4,4,3,3,5,3,3,1
STU5307,B.NSc. (N/P),1,3,3,3,3,3,4,3,3,3,0
STU5308,B.Comm. (New Programme),1,3,2,2,2,3,0,3,3,2,0
STU5309,B.NSc. (N/P),0,4,3,3,3,3,4,4,4,4,1
STU5310,B.Sc. ABE,1,4,4,3,3,4,4,4,4,4,1
STU5311,BACHELOR OF SCIENCE,0,3,2,2,2,3,3,3,3,3,1
STU5312,BACHELOR OF SCIENCE,0,3,2,3,2,3,4,3,3,3,1
STU5313,B.Sc. Agric. Ed.,0,4,2,3,3,4,4,5,4,3,1
